MAPK3,RIPK2,NFKB1,HSDL2,EPHX2,RIDA,FDX1,SYNPO,KDF1,METTL7A,group
20.0319784080325,15.1153414647362,11.7709527131064,20.0179337556235,32.7223142386958,16.8925480529811,13.7810460930541,15.279735690848,15.7029662431707,18.8449469004994,1
23.022687301043,17.590743984365,11.8944308541563,21.3735544159139,34.2353711122692,24.0923973823256,16.2882552706679,15.2056159710724,20.6865417853217,19.1185714480758,1
18.8163561663027,18.4461917481269,12.0731408953768,18.0296594215563,30.3323836486061,15.5245648943577,14.2562306695005,13.3737064164985,17.9697404205096,15.2330768971621,1
22.8737153978883,14.9597896613609,11.8835351200916,24.8529765302364,33.9463771289266,36.0378154310328,19.4736158660439,16.7051115062086,20.5024319971282,21.9755182052434,1
22.0841503283924,16.7524883012072,12.3727124580782,20.11349137935,32.2837133556475,21.702477572496,14.6696669336843,15.7453204983566,20.2167361467675,21.34348129424,1
20.9472637884135,14.6469624527813,13.4201997679831,25.0715157484654,35.6189282559229,25.1402920939992,17.7848994902991,17.6474824793499,21.352773008375,23.356942951171,1
22.0292402612955,15.6824055346622,11.0601659895872,21.9232868787445,38.6543109976546,21.1892618371727,16.1830463010892,16.5815187627253,18.5739841290498,18.6857660567357,1
19.8307164332257,22.8464623184732,12.0481994039168,19.1836252999049,27.128002358553,23.1699996319396,13.2148428167623,13.9323270050068,14.8975608457525,16.7102230875406,1
18.9057402553719,24.3168689773403,12.2620433157428,19.288124795185,21.9305150440578,15.9260703560043,12.4014196326874,14.2915427466195,14.0348923284904,16.5339803549845,1
20.9979279103679,27.7346803196196,12.4646656820176,21.9675977372655,29.3985992753386,29.2342715702381,13.7471072463808,13.7367515789581,16.4940353413421,14.5768943633393,1
23.0870241896375,17.9572796746927,12.3961742403658,23.8632055461661,33.1525277599459,23.1206352905985,18.2328814287542,17.1132168432541,18.9671515059676,21.5970532568872,1
21.7786682391033,17.445916578477,11.6803240868205,20.1333816957351,30.9169961210948,22.7324157867822,16.694575462216,15.2497211515193,18.6909757256123,19.4589274793035,1
