,Activated B cell,Activated CD4 T cell,Activated CD8 T cell,MAPK3,RIPK2,NFKB1,HSDL2,EPHX2
GSM1621910,0.032902936,0.102713496,0.172521731,7.668269838,5.673251257,8.962136599,7.657061321,8.627925416
GSM1621911,-0.069124114,0.067700255,0.147825901,7.202743928,5.102158043,8.918565642,7.756708684,8.919936999
GSM1621913,-0.116291589,0.122321311,0.144900121,8.359746454,5.54160851,8.888347092,8.027578124,7.756736156
GSM1621914,0.005516316,0.129709389,0.185937292,8.154097186,5.720003384,9.103158033,7.583538769,8.009702853
GSM1621915,0.059255096,0.144727045,0.194522604,7.186946995,5.359457472,9.052467078,7.846057137,8.550550164
GSM1621917,0.111567912,0.15303624,0.251669938,7.603354654,5.413571326,8.8734383,7.658594924,8.342190249
GSM1621919,0.039462439,0.138999114,0.152132289,7.125063395,5.981440622,9.765340731,7.755498008,8.739148006
GSM1621921,0.024226997,0.163384374,0.218218478,7.775426668,5.010142018,8.487490818,9.008008508,9.160102763
GSM1621923,0.230875465,0.248581853,0.30079421,6.813563684,6.706136417,9.49910998,7.082564332,6.452079734
GSM1621924,0.06660685,0.077376582,0.21193127,7.780583384,5.67886207,8.934090985,7.687372305,8.865234575
GSM1621927,0.124705702,0.151348546,0.186924493,7.422020242,5.86945699,8.95965784,7.657370145,8.145487778
GSM1621928,0.118188729,0.165897132,0.242059321,7.494427504,6.165290749,8.962136599,7.651161762,7.592323456
GSM1621931,0.083310162,0.143012607,0.191646478,7.53857665,5.710256938,8.90111663,7.41582918,7.595375347
GSM1621933,0.018498019,0.037104884,0.180837963,7.412405657,5.808343771,9.002763973,7.882700597,8.43285822
GSM1621934,-0.001010593,0.014924416,0.149046471,8.344306643,4.653440567,9.099355665,8.252782798,9.134861193
GSM1621935,0.124179543,0.193346663,0.211648968,7.35080183,5.639067402,9.131712419,7.607255475,8.067426681
GSM1621937,0.07414034,0.122852198,0.152889705,7.265452886,5.771540596,8.67384882,8.310570785,8.613491581
GSM1621938,-0.032664563,-0.034923676,0.144714719,8.236106743,4.681605893,9.11883847,8.292092824,9.056578429
GSM1621939,-0.020330944,0.031518292,0.119474742,8.03436461,5.275580761,8.731256866,8.615321474,9.410360091
GSM1621941,-0.040438766,0.068860622,0.164502633,7.883758597,5.751471058,9.012375205,7.526780927,8.241660855
GSM1621942,-0.015907473,-0.050120809,0.154337744,8.375404429,4.861422395,8.737546911,8.290545893,9.060396217
GSM1621943,-0.006011343,0.036639569,0.138704436,7.88908915,5.094779314,8.695546108,8.457653863,9.36470565
GSM1621944,-0.117222575,0.032685515,0.15106355,8.387682645,5.400704005,8.546703222,8.365733446,8.518340553
GSM1621945,-0.067819165,-0.005660558,0.176062968,8.029325377,4.956820922,8.928119805,8.22492758,9.033899364
GSM1621947,0.001209876,0.003015988,0.145510723,8.081367336,5.04107713,8.887360832,8.314465021,9.280532698
GSM1621948,-0.029714935,0.040341621,0.149811466,7.751984392,5.00771343,8.741681049,7.833279577,9.201139062
GSM1621949,0.219578793,0.174947577,0.236778078,7.77354595,5.663345088,8.838144755,7.452692242,8.044341589
GSM1621951,-0.008987319,0.079517109,0.131652179,8.006035144,5.093514493,9.025852879,8.270609232,9.526685466
GSM1621588,0.019119807,0.068023401,0.172302867,7.676305829,5.25787231,8.917384275,7.41237233,9.195436724
GSM1621593,0.25513108,0.205784537,0.260699216,7.623786503,5.428947788,9.294589414,7.816548934,8.793109264
GSM1621594,0.055318976,0.051521491,0.152794074,7.799087665,5.083975221,8.890804834,7.952327977,9.417328052
GSM1621596,-0.043394269,0.070595896,0.242248959,7.949548748,5.107233666,8.957431986,8.13583071,9.998513772
GSM1621599,0.086157261,0.189567427,0.209304671,7.403333763,6.150656545,9.122723746,7.742526189,8.818704601
GSM1621601,0.200906226,0.147438225,0.202554859,7.908156879,5.107233666,9.100593347,8.029583474,9.427308064
GSM1621605,-0.05778534,-0.006987532,0.147130107,6.832217886,4.417004334,8.548548132,8.656009942,10.34541273
GSM1621609,-0.024340255,0.015802461,0.172421186,8.255715703,5.155483728,8.665329606,8.272079091,9.475602826
GSM1621612,-0.056044229,0.020872339,0.182096605,7.939642446,5.237345935,9.171940982,7.998428976,8.763905413
GSM1621613,0.146804556,0.159216428,0.26866514,7.539188992,5.692919523,8.883923217,7.473443487,9.3393113
GSM1621615,-0.046712075,0.062844956,0.16683201,8.405063879,4.386040684,8.890804834,7.927828532,9.072025999
GSM1621617,0.098142065,0.070267793,0.158464622,7.677574761,5.167100604,9.089214726,8.341398984,9.634378931
GSM1621620,0.023020989,0.019579826,0.185674768,8.062535502,5.218567861,8.759682779,8.220381282,9.392284113
GSM1621623,0.18096251,0.15619047,0.194532296,7.589482661,5.275136362,8.65272912,8.2166136,9.049142428
GSM1621626,0.055121311,0.191464087,0.197166336,7.582738511,6.066546985,9.030630216,7.669037837,8.355071502
GSM1621629,0.209292783,0.135011992,0.220136088,7.69688619,5.155916483,9.190486997,7.867799616,9.336153639
