,Activated B cell,Activated CD4 T cell,Activated CD8 T cell,MAPK3,RIPK2,NFKB1,HSDL2,EPHX2
GSM1621838,-0.038288709,0.027033261,0.131420499,8.205201693,5.345029011,8.574160956,8.449551136,8.935308007
GSM1621841,0.141047769,0.143872063,0.229206717,8.291842583,5.133767618,9.200082386,7.796411002,9.08356512
GSM1621842,-0.093747782,0.064682651,0.118802309,8.078535655,5.138436637,8.732297987,8.50136177,9.052826171
GSM1621845,0.13320212,0.145687166,0.236731775,8.180943987,5.252242149,9.081528214,7.751780558,8.957811133
GSM1621846,-0.098449404,0.052298696,0.099057926,7.966881752,5.289764068,8.654981622,8.410089187,9.062932766
GSM1621849,0.057249817,0.113611998,0.215738581,8.103385078,5.521633688,9.105734843,7.822941166,8.994680059
GSM1621850,-0.11211496,0.049198634,0.078964167,8.002437273,5.615230693,9.005233867,7.943089236,8.7479247
GSM1621853,-0.021751556,0.070098153,0.255749072,7.934225067,5.362137051,9.049894525,7.971874807,9.868843901
GSM1621854,-0.043250168,0.201603669,0.197598479,7.334857816,7.290943712,9.427833775,7.673247614,9.371245839
GSM1621858,0.040068545,0.107149603,0.213434938,7.744968192,5.347402961,8.767325237,8.183448213,8.889814845
GSM1621859,0.030013215,0.198285512,0.22574695,7.743052729,6.150133662,8.913878327,7.850491172,8.308759199
GSM1621866,-0.02279879,-0.042698593,0.141038258,8.090243706,4.673108328,9.082658548,8.433024841,9.315512597
GSM1621870,-0.012311787,0.095477556,0.151356358,8.02789503,5.899675253,8.934090985,8.014747711,8.147905471
GSM1621881,-0.027421931,0.065483574,0.188738275,8.001641699,5.246677713,8.663325372,8.481280009,8.998119509
GSM1621892,0.096670849,0.224888476,0.295183841,7.138774054,6.699961877,9.31400165,7.543261299,7.414934952
GSM1621894,-0.075677672,-0.007188293,0.151846297,7.780583384,4.972979292,8.675974897,8.154008518,9.353638193
GSM1621896,0.144103324,0.228705345,0.272299217,7.299513984,6.57749962,9.318630602,7.474651728,7.465820707
GSM1621900,0.153407586,0.222941423,0.268425381,7.224433402,6.563472351,9.138042691,7.634628376,7.516870435
GSM1621904,0.010067386,0.070839389,0.096798939,7.739785542,5.19240891,8.859655935,7.909392103,8.676323498
GSM1621905,-0.048970471,0.186179866,0.21618704,7.663339754,5.928095682,9.013580984,7.808121486,8.500314648
GSM1621912,0.105903589,0.092080217,0.223852736,8.166698786,5.260061392,8.90111663,7.88519078,10.03279751
GSM1621916,0.110566249,0.122317641,0.181940389,8.441010949,5.379101098,8.896338026,8.083068742,8.000968424
GSM1621918,-0.031410541,0.007539183,0.129970319,8.260536666,4.917714376,9.125220854,7.979028475,9.598647178
GSM1621922,0.063782514,0.033750158,0.175479811,8.358850888,5.135907578,8.829177934,8.142998829,9.423896569
GSM1621926,0.164716882,0.196707532,0.215664075,7.606465789,6.037916385,9.036412136,7.125500633,8.711743509
GSM1621929,0.003631118,0.148039926,0.230749433,8.013009112,4.924933965,8.8116725,8.15256055,9.905832832
GSM1621930,0.170870421,0.14402635,0.262437677,7.647316056,5.170456238,8.958576088,7.634069442,8.872407389
GSM1621932,-0.002368883,0.149057153,0.143606416,7.212198081,5.422682723,9.053644619,8.012753252,8.980474102
GSM1621946,0.204947639,0.120077213,0.241189591,7.938943066,5.367181882,9.043753323,7.749899995,9.292607361
GSM1621950,0.144236439,0.149520997,0.195811034,7.952368696,5.187648119,9.096733211,7.393425084,9.124014977
GSM1621952,0.153297622,0.244296552,0.267745113,7.700776337,6.589556253,9.131712419,7.327494843,7.712974312
